"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","5.84%","2.48%","91.68%"
"2011-03-01","12.41%","2.15%","85.44%"
"2011-04-01","9.90%","2.18%","87.91%"
"2011-05-01","8.01%","2.28%","89.72%"
"2011-06-01","2.95%","2.42%","94.63%"
"2011-07-01","2.65%","2.48%","94.87%"
"2011-08-01","6.99%","2.31%","90.70%"
"2011-09-01","4.50%","2.15%","93.35%"
"2011-10-01","3.13%","2.13%","94.74%"
"2011-11-01","3.40%","2.42%","94.19%"
"2011-12-01","3.83%","3.34%","92.83%"
"2012-01-01","0.77%","3.24%","95.99%"
"2012-02-01","0.83%","3.28%","95.89%"
"2012-03-01","1.14%","3.18%","95.68%"
"2012-04-01","1.22%","3.86%","94.92%"
"2012-05-01","1.21%","3.85%","94.94%"
"2012-06-01","1.41%","3.66%","94.92%"
"2012-07-01","1.47%","3.86%","94.67%"
"2012-08-01","1.85%","4.26%","93.89%"
"2012-09-01","1.89%","5.03%","93.08%"
"2012-10-01","2.07%","5.57%","92.36%"
"2012-11-01","2.39%","5.99%","91.61%"
"2012-12-01","2.10%","6.03%","91.86%"
"2013-01-01","2.81%","6.91%","90.28%"
"2013-02-01","2.78%","7.84%","89.38%"
"2013-03-01","3.51%","7.85%","88.64%"
"2013-04-01","4.78%","9.09%","86.13%"
"2013-05-01","5.47%","10.21%","84.32%"
"2013-06-01","5.65%","10.16%","84.19%"
"2013-07-01","7.45%","10.05%","82.50%"
"2013-08-01","8.85%","10.00%","81.14%"
"2013-09-01","9.59%","10.43%","79.98%"
"2013-10-01","10.08%","10.69%","79.22%"
"2013-11-01","10.16%","10.77%","79.07%"
"2013-12-01","10.05%","11.48%","78.47%"
"2014-01-01","10.22%","11.61%","78.17%"
"2014-02-01","9.84%","11.17%","78.98%"
"2014-03-01","9.00%","11.79%","79.21%"
"2014-04-01","9.05%","12.26%","78.68%"
"2014-05-01","9.04%","13.12%","77.84%"
"2014-06-01","8.02%","14.22%","77.77%"
"2014-07-01","7.40%","15.41%","77.20%"
"2014-08-01","9.08%","17.46%","73.46%"
"2014-09-01","10.25%","18.65%","71.10%"
"2014-10-01","10.45%","20.19%","69.36%"
"2014-11-01","10.71%","20.72%","68.57%"
"2014-12-01","10.78%","20.98%","68.24%"
"2015-01-01","11.04%","21.48%","67.48%"
"2015-02-01","10.95%","21.17%","67.87%"
"2015-03-01","10.72%","21.50%","67.77%"
"2015-04-01","11.17%","21.62%","67.20%"
"2015-05-01","11.65%","21.96%","66.39%"
"2015-06-01","11.86%","22.20%","65.93%"
"2015-07-01","11.83%","22.72%","65.45%"
"2015-08-01","11.98%","23.54%","64.48%"
"2015-09-01","13.03%","25.12%","61.85%"
"2015-10-01","14.44%","25.65%","59.91%"
"2015-11-01","14.15%","26.02%","59.83%"
"2015-12-01","14.09%","26.17%","59.74%"
"2016-01-01","13.33%","27.51%","59.16%"
"2016-02-01","13.40%","27.51%","59.10%"
"2016-03-01","13.44%","27.94%","58.61%"
"2016-04-01","12.61%","27.23%","60.17%"
"2016-05-01","13.89%","26.87%","59.23%"
"2016-06-01","14.82%","27.23%","57.95%"
"2016-07-01",null,null,null
"2016-08-01","15.45%","26.59%","57.95%"
"2016-09-01","15.19%","26.00%","58.81%"
"2016-10-01","16.34%","25.95%","57.71%"
"2016-11-01","18.06%","26.07%","55.87%"
"2016-12-01","18.64%","26.18%","55.18%"
"2017-01-01","19.32%","27.23%","53.44%"
"2017-02-01","18.96%","27.57%","53.47%"
"2017-03-01","18.96%","27.94%","53.10%"
"2017-04-01","19.38%","27.58%","53.05%"
"2017-05-01","20.10%","28.08%","51.83%"
"2017-06-01","20.99%","29.08%","49.93%"
"2017-07-01","22.20%","28.54%","49.27%"
"2017-08-01","22.08%","28.81%","49.11%"
"2017-09-01","25.18%","27.50%","47.33%"
"2017-10-01","27.29%","26.76%","45.95%"
"2017-11-01","27.46%","27.16%","45.38%"
"2017-12-01","28.23%","26.72%","45.05%"
"2018-01-01","28.56%","26.08%","45.35%"
"2018-02-01","29.16%","25.68%","45.16%"
"2018-03-01","31.11%","24.47%","44.42%"
"2018-04-01","32.99%","23.51%","43.50%"
"2018-05-01","34.08%","23.04%","42.88%"
"2018-06-01","35.74%","22.89%","41.38%"
"2018-07-01","36.96%","23.75%","39.28%"
"2018-08-01","39.47%","22.28%","38.25%"
"2018-09-01","43.64%","21.89%","34.47%"
"2018-10-01","43.64%","22.69%","33.68%"
"2018-11-01","43.67%","23.39%","32.94%"
"2018-12-01","42.85%","24.21%","32.95%"
"2019-01-01","42.59%","24.80%","32.61%"
"2019-02-01","41.05%","25.00%","33.95%"
"2019-03-01","40.03%","24.77%","35.20%"
"2019-04-01","40.74%","24.43%","34.83%"
"2019-05-01","41.64%","23.90%","34.46%"
"2019-06-01","43.43%","24.30%","32.27%"
"2019-07-01","43.85%","24.60%","31.54%"
"2019-08-01","43.00%","26.21%","30.79%"
"2019-09-01","42.23%","27.66%","30.11%"
"2019-10-01","42.36%","28.01%","29.63%"
"2019-11-01","42.18%","28.51%","29.31%"
"2019-12-01","38.85%","30.36%","30.79%"
"2020-01-01",null,null,null
"2020-02-01","38.17%","30.89%","30.94%"
"2020-03-01","35.94%","32.06%","32.00%"
"2020-04-01","34.22%","32.48%","33.30%"
"2020-05-01","34.73%","32.44%","32.83%"
"2020-06-01","35.01%","32.14%","32.85%"
"2020-07-01","34.05%","33.28%","32.67%"
"2020-08-01","35.47%","32.66%","31.87%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","34.92%","34.65%","30.43%"
"2020-12-01","34.13%","34.37%","31.50%"
"2021-01-01","35.24%","33.26%","31.50%"
"2021-02-01","34.47%","34.26%","31.26%"
"2021-03-01","34.61%","33.44%","31.95%"
"2021-04-01","35.36%","32.67%","31.97%"
"2021-05-01","34.54%","34.32%","31.14%"
"2021-06-01","34.20%","34.55%","31.26%"
"2021-07-01","34.45%","34.50%","31.04%"
"2021-08-01","34.27%","35.23%","30.50%"
"2021-09-01","35.61%","34.54%","29.86%"
"2021-10-01","34.26%","34.94%","30.80%"
"2021-11-01","34.17%","35.55%","30.28%"
"2021-12-01","33.98%","36.35%","29.67%"
"2022-01-01","33.93%","37.28%","28.79%"
"2022-02-01","33.91%","38.44%","27.65%"
"2022-03-01","34.25%","38.32%","27.42%"
"2022-04-01","33.92%","39.23%","26.85%"
"2022-05-01","33.57%","39.73%","26.70%"
"2022-06-01","33.57%","40.38%","26.05%"
"2022-07-01","33.03%","40.98%","25.99%"
"2022-08-01","33.83%","40.77%","25.40%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","34.37%","41.18%","24.44%"
"2022-12-01","34.99%","40.68%","24.33%"
"2023-01-01","34.75%","41.34%","23.91%"
"2023-02-01","34.36%","41.37%","24.26%"
"2023-03-01",null,null,null
"2023-04-01","34.60%","42.28%","23.12%"
"2023-05-01","37.63%","37.90%","24.47%"
"2023-06-01","38.20%","37.35%","24.44%"
"2023-07-01","37.50%","39.61%","22.89%"
