"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","19.59%","48.71%","31.70%"
"2011-03-01","31.40%","43.31%","25.29%"
"2011-04-01","31.47%","44.30%","24.23%"
"2011-05-01","29.64%","45.63%","24.73%"
"2011-06-01","27.81%","46.86%","25.33%"
"2011-07-01","30.41%","46.32%","23.26%"
"2011-08-01","34.82%","42.51%","22.67%"
"2011-09-01","13.41%","60.77%","25.82%"
"2011-10-01","4.08%","70.07%","25.85%"
"2011-11-01","5.47%","70.94%","23.58%"
"2011-12-01","5.91%","71.39%","22.70%"
"2012-01-01","5.12%","67.38%","27.50%"
"2012-02-01","4.30%","61.42%","34.28%"
"2012-03-01","4.65%","56.54%","38.81%"
"2012-04-01","6.86%","67.96%","25.17%"
"2012-05-01","6.84%","67.53%","25.64%"
"2012-06-01","6.82%","66.87%","26.31%"
"2012-07-01","8.28%","66.92%","24.80%"
"2012-08-01","9.23%","65.32%","25.46%"
"2012-09-01","11.36%","60.35%","28.29%"
"2012-10-01","11.82%","59.66%","28.52%"
"2012-11-01","11.40%","60.75%","27.85%"
"2012-12-01","11.72%","61.68%","26.61%"
"2013-01-01","12.74%","60.93%","26.33%"
"2013-02-01","14.26%","60.79%","24.95%"
"2013-03-01","14.00%","62.19%","23.81%"
"2013-04-01","14.77%","63.15%","22.08%"
"2013-05-01","16.01%","62.37%","21.61%"
"2013-06-01","17.34%","62.35%","20.31%"
"2013-07-01","16.04%","64.00%","19.95%"
"2013-08-01","15.60%","63.96%","20.44%"
"2013-09-01","13.31%","63.85%","22.83%"
"2013-10-01","13.18%","59.50%","27.31%"
"2013-11-01","14.38%","57.75%","27.87%"
"2013-12-01","15.64%","55.58%","28.79%"
"2014-01-01","13.79%","57.87%","28.34%"
"2014-02-01","13.93%","57.87%","28.20%"
"2014-03-01","15.22%","57.93%","26.85%"
"2014-04-01","16.86%","57.84%","25.30%"
"2014-05-01","17.73%","58.15%","24.12%"
"2014-06-01","16.11%","58.27%","25.62%"
"2014-07-01","16.31%","58.20%","25.49%"
"2014-08-01","20.17%","56.00%","23.84%"
"2014-09-01","20.68%","56.04%","23.29%"
"2014-10-01","23.65%","55.26%","21.09%"
"2014-11-01","23.92%","56.05%","20.02%"
"2014-12-01","25.33%","54.33%","20.35%"
"2015-01-01","26.87%","53.34%","19.80%"
"2015-02-01","27.05%","54.00%","18.95%"
"2015-03-01","29.48%","52.16%","18.37%"
"2015-04-01","30.84%","51.45%","17.71%"
"2015-05-01","33.03%","48.92%","18.05%"
"2015-06-01","35.11%","46.92%","17.97%"
"2015-07-01","37.00%","45.09%","17.91%"
"2015-08-01","38.54%","43.92%","17.54%"
"2015-09-01","43.36%","39.93%","16.71%"
"2015-10-01","43.39%","39.09%","17.52%"
"2015-11-01","43.24%","39.65%","17.11%"
"2015-12-01","45.79%","38.08%","16.13%"
"2016-01-01","47.99%","37.00%","15.01%"
"2016-02-01","50.02%","35.13%","14.85%"
"2016-03-01","51.60%","34.15%","14.25%"
"2016-04-01","52.35%","34.16%","13.49%"
"2016-05-01","53.26%","33.85%","12.90%"
"2016-06-01","54.68%","32.31%","13.00%"
"2016-07-01","58.64%","28.60%","12.76%"
"2016-08-01","59.84%","25.81%","14.35%"
"2016-09-01","60.01%","25.56%","14.44%"
"2016-10-01","61.64%","25.23%","13.13%"
"2016-11-01","63.70%","23.99%","12.31%"
"2016-12-01","64.04%","24.59%","11.37%"
"2017-01-01","63.25%","24.86%","11.89%"
"2017-02-01","64.48%","24.63%","10.89%"
"2017-03-01","65.55%","23.79%","10.66%"
"2017-04-01","66.47%","23.16%","10.36%"
"2017-05-01","68.23%","21.67%","10.11%"
"2017-06-01","69.56%","20.68%","9.76%"
"2017-07-01","68.48%","22.89%","8.63%"
"2017-08-01","67.33%","24.48%","8.19%"
"2017-09-01","67.34%","24.86%","7.80%"
"2017-10-01","66.65%","25.25%","8.10%"
"2017-11-01","66.68%","25.36%","7.96%"
